package,authors,description,url,msc,verified
acl2s/acl2s-sigs.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/acl2s-sigs.lisp,Exclude-Util,True
acl2s/acl2s-size.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/acl2s-size.lisp,Exclude-Util,True
acl2s/base-arithmetic.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/base-arithmetic.lisp,Exclude-Util,True
acl2s/base-lists.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/base-lists.lisp,Exclude-Util,True
acl2s/base-theory.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/base-theory.lisp,Exclude-Util,True
acl2s/ccg,,,https://github.com/acl2/acl2/tree/master/books/acl2s/ccg,Exclude-Util,True
acl2s/cgen,,,https://github.com/acl2/acl2/tree/master/books/acl2s/cgen,Exclude-Util,True
acl2s/check-equal.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/check-equal.lisp,Exclude-Util,True
acl2s/cons-size.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/cons-size.lisp,Exclude-Util,True
acl2s/custom.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/custom.lisp,Exclude-Util,True
acl2s/defdata-testing.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/defdata-testing.lisp,Exclude-Util,True
acl2s/defdata,,,https://github.com/acl2/acl2/tree/master/books/acl2s/defdata,Exclude-Util,True
acl2s/definec.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/definec.lisp,Exclude-Util,True
acl2s/defintrange.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/defintrange.lisp,Exclude-Util,True
acl2s/defunc.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/defunc.lisp,Exclude-Util,True
acl2s/demos,,,https://github.com/acl2/acl2/tree/master/books/acl2s/demos,Exclude-Util,True
acl2s/doc.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/doc.lisp,Exclude-Util,True
acl2s/match.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/match.lisp,Exclude-Util,True
acl2s/mode-acl2s-dependencies.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/mode-acl2s-dependencies.lisp,Exclude-Util,True
acl2s/portcullis.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/portcullis.lisp,Exclude-Util,True
acl2s/properties.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/properties.lisp,Exclude-Util,True
acl2s/sorting,,,https://github.com/acl2/acl2/tree/master/books/acl2s/sorting,Exclude-Util,True
acl2s/top-doc.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/top-doc.lisp,Exclude-Util,True
acl2s/top.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/top.lisp,Exclude-Util,True
acl2s/utilities.lisp,,,https://github.com/acl2/acl2/blob/master/books/acl2s/utilities.lisp,Exclude-Util,True
add-ons/hash-stobjs.lisp,,,https://github.com/acl2/acl2/blob/master/books/add-ons/hash-stobjs.lisp,Exclude-Util,True
arithmetic-2/floor-mod,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-2/floor-mod,Exclude-Depr,True
arithmetic-2/meta,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-2/meta,Exclude-Depr,True
arithmetic-2/pass1,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-2/pass1,Exclude-Depr,True
arithmetic-3/bind-free,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-3/bind-free,Exclude-Depr,True
arithmetic-3/extra,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-3/extra,Exclude-Depr,True
arithmetic-3/floor-mod,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-3/floor-mod,Exclude-Depr,True
arithmetic-3/pass1,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-3/pass1,Exclude-Depr,True
arithmetic-3/top.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic-3/top.lisp,Exclude-Depr,True
arithmetic-5/lib,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-5/lib,11A25,True
arithmetic-5/support,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-5/support,Exclude-Depr,True
arithmetic-5/top.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic-5/top.lisp,Exclude-Util,True
arithmetic/abs.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/abs.lisp,Exclude-Depr,True
arithmetic/binomial.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/binomial.lisp,Exclude-Depr,True
arithmetic/equalities.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/equalities.lisp,Exclude-Depr,True
arithmetic/factorial.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/factorial.lisp,Exclude-Depr,True
arithmetic/idiv.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/idiv.lisp,Exclude-Depr,True
arithmetic/inequalities.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/inequalities.lisp,Exclude-Depr,True
arithmetic/mod-gcd.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/mod-gcd.lisp,Exclude-Depr,True
arithmetic/nat-listp.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/nat-listp.lisp,Exclude-Depr,True
arithmetic/natp-posp.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/natp-posp.lisp,Exclude-Depr,True
arithmetic/rational-listp.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/rational-listp.lisp,Exclude-Depr,True
arithmetic/rationals.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/rationals.lisp,Exclude-Depr,True
arithmetic/real-listp.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/real-listp.lisp,Exclude-Depr,True
arithmetic/realp.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/realp.lisp,Exclude-Depr,True
arithmetic/sumlist.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/sumlist.lisp,Exclude-Depr,True
arithmetic/top-with-meta.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/top-with-meta.lisp,Exclude-Doc,True
arithmetic/top.lisp,,,https://github.com/acl2/acl2/blob/master/books/arithmetic/top.lisp,Exclude-Doc,True
bdd/alu-proofs.lisp,,,https://github.com/acl2/acl2/blob/master/books/bdd/alu-proofs.lisp,94C11,True
bdd/alu.lisp,,,https://github.com/acl2/acl2/blob/master/books/bdd/alu.lisp,94C11,True
bdd/bdd-primitives.lisp,,,https://github.com/acl2/acl2/blob/master/books/bdd/bdd-primitives.lisp,94C11,True
bdd/be,,,https://github.com/acl2/acl2/tree/master/books/bdd/be,94C11,True
bdd/bool-ops.lisp,,,https://github.com/acl2/acl2/blob/master/books/bdd/bool-ops.lisp,94C11,True
bdd/cbf.lisp,,,https://github.com/acl2/acl2/blob/master/books/bdd/cbf.lisp,Exclude-Util,True
bdd/hamming.lisp,,,https://github.com/acl2/acl2/blob/master/books/bdd/hamming.lisp,94C11,True
bdd/pg-theory.lisp,,,https://github.com/acl2/acl2/blob/master/books/bdd/pg-theory.lisp,94C11,True
build/defrec-certdeps,,,https://github.com/acl2/acl2/tree/master/books/build/defrec-certdeps,Exclude-Util,True
build/doc.lisp,,,https://github.com/acl2/acl2/blob/master/books/build/doc.lisp,Exclude-Util,True
build/ifdef.lisp,,,https://github.com/acl2/acl2/blob/master/books/build/ifdef.lisp,Exclude-Util,True
build/jenkins,,,https://github.com/acl2/acl2/tree/master/books/build/jenkins,Exclude-Util,True
build/lib,,,https://github.com/acl2/acl2/tree/master/books/build/lib,Exclude-Util,True
build/portcullis.lisp,,,https://github.com/acl2/acl2/blob/master/books/build/portcullis.lisp,Exclude-Util,True
build/test-ifdef-define,,,https://github.com/acl2/acl2/tree/master/books/build/test-ifdef-define,Exclude-Util,True
build/test,,,https://github.com/acl2/acl2/tree/master/books/build/test,Exclude-Util,True
centaur/4v-sexpr,,,https://github.com/acl2/acl2/tree/master/books/centaur/4v-sexpr,94C99,True
centaur/acre,,,https://github.com/acl2/acl2/tree/master/books/centaur/acre,94C99,True
centaur/aig,,,https://github.com/acl2/acl2/tree/master/books/centaur/aig,94C99,True
centaur/aignet,,,https://github.com/acl2/acl2/tree/master/books/centaur/aignet,94C99,True
centaur/bed,,,https://github.com/acl2/acl2/tree/master/books/centaur/bed,94C99,True
centaur/bigmem,,,https://github.com/acl2/acl2/tree/master/books/centaur/bigmem,94C99,True
centaur/bitops,,,https://github.com/acl2/acl2/tree/master/books/centaur/bitops,94C99,True
centaur/bridge,,,https://github.com/acl2/acl2/tree/master/books/centaur/bridge,94C99,True
centaur/clex,,,https://github.com/acl2/acl2/tree/master/books/centaur/clex,94C99,True
centaur/defrstobj,,,https://github.com/acl2/acl2/tree/master/books/centaur/defrstobj,94C99,True
centaur/defrstobj2,,,https://github.com/acl2/acl2/tree/master/books/centaur/defrstobj2,94C99,True
centaur/depgraph,,,https://github.com/acl2/acl2/tree/master/books/centaur/depgraph,94C99,True
centaur/esim,,,https://github.com/acl2/acl2/tree/master/books/centaur/esim,94C99,True
centaur/fgl,,,https://github.com/acl2/acl2/tree/master/books/centaur/fgl,94C99,True
centaur/fty,,,https://github.com/acl2/acl2/tree/master/books/centaur/fty,94C99,True
centaur/getopt,,,https://github.com/acl2/acl2/tree/master/books/centaur/getopt,94C99,True
centaur/gl,,,https://github.com/acl2/acl2/tree/master/books/centaur/gl,94C99,True
centaur/glmc,,,https://github.com/acl2/acl2/tree/master/books/centaur/glmc,94C99,True
centaur/ipasir,,,https://github.com/acl2/acl2/tree/master/books/centaur/ipasir,94C99,True
centaur/lispfloat,,,https://github.com/acl2/acl2/tree/master/books/centaur/lispfloat,94C99,True
centaur/memoize,,,https://github.com/acl2/acl2/tree/master/books/centaur/memoize,94C99,True
centaur/meta,,,https://github.com/acl2/acl2/tree/master/books/centaur/meta,94C99,True
centaur/misc,,,https://github.com/acl2/acl2/tree/master/books/centaur/misc,94C99,True
centaur/nrev,,,https://github.com/acl2/acl2/tree/master/books/centaur/nrev,94C99,True
centaur/quicklisp,,,https://github.com/acl2/acl2/tree/master/books/centaur/quicklisp,94C99,True
centaur/satlink,,,https://github.com/acl2/acl2/tree/master/books/centaur/satlink,94C99,True
centaur/sv,,,https://github.com/acl2/acl2/tree/master/books/centaur/sv,94C99,True
centaur/svl,,,https://github.com/acl2/acl2/tree/master/books/centaur/svl,94C99,True
centaur/truth,,,https://github.com/acl2/acl2/tree/master/books/centaur/truth,94C99,True
centaur/ubdds,,,https://github.com/acl2/acl2/tree/master/books/centaur/ubdds,94C99,True
centaur/vl,,,https://github.com/acl2/acl2/tree/master/books/centaur/vl,94C99,True
centaur/vl2014,,,https://github.com/acl2/acl2/tree/master/books/centaur/vl2014,94C99,True
clause-processors/SULFA,,,https://github.com/acl2/acl2/tree/master/books/clause-processors/SULFA,Exclude-Util,True
