package,url,description,authors,msc,verified
coq-aac-tactics,https://github.com/coq-community/aac-tactics,"This Coq plugin provides tactics for rewriting universally quantified equations, modulo associativity and commutativity of some operator. The tactics can be applied for custom operators by registering the operators and their properties as type class instances. Many common operator instances, such as for Z binary arithmetic and booleans, are provided with the plugin.","Thomas Braibant, Damien Pous, Fabian Kunze",68V15,True
coq-abp,https://github.com/coq-contribs/abp,A verification of the alternating bit protocol expressed in CBS,Eduardo Giménez,68M12,True
coq-addition-chains,https://github.com/coq-community/hydra-battles,"Addition chains are algorithms for computations of the p-th power of some x,  with the least number of multiplication as possible. We present a few implementations of addition chains, with proofs of their correctness","Pierre Castéran, Yves Bertot",33B10,True
coq-additions,https://github.com/coq-contribs/additions,Note: this package has been superseded by coq-addition-chains.,Pierre Castéran,Exclude-Depr,True
coq-ails,https://github.com/coq-contribs/ails,An aircraft trajectory modeling and analysis using the AILS algorithm (Airborne Information for Lateral Spacing) to warn against possible collisions.,Olivier Desmettre,70-XX,True
coq-albert,https://gitlab.com/nomadic-labs/albert/,"Albert is an intermediate smart contract programming language targeting Michelson, the language for the Tezos blockchain. Albert is an imperative language with variables and records, abstracting the Michelson stack. The intent of Albert is to serve as a compilation target for high-level smart contract programming languages. The linear type system of Albert ensures that an Albert program, compiled to the stack-based Michelson language, properly consumes all stack values.  This package contains the ott specification of the language, the Albert compiler targeting Michelson written in Coq and extracted to OCaml.","Raphaël Cauderlier, Bruno Bernardo, Julien Tesson, Arvid Jakobsson, Basile Pesin",68N15,True
coq-alea,https://github.com/coq-community/alea,"ALEA is a library for reasoning on randomized algorithms in Coq, based on interpreting programs inside a monad as probability distributions.","Christine Paulin-Mohring, David Baelde, Pierre Courtieu",68W20,True
coq-algebra,https://github.com/coq-contribs/algebra,Basics notions of algebra,Loïc Pottier [http://www-sop.inria.fr/croap/personnel/Loic.Pottier/home.html],08-xx,True
coq-algorand,https://github.com/runtimeverification/algorand-verification,"The Algorand consensus protocol provides the foundation for a decentralized digital currency and transactions platform. This project provides a model of the protocol in Coq, expressed as a transition system over global states in a message-passing distributed system. Included is a formal proof of safety for the transition system.","Musab A. Alturki, Jing Chen, Victor Luchangco, Brandon Moore, Karl Palmskog, Lucas Peña, Grigore Roșu",68M12,True
coq-almost-full,https://github.com/coq-community/almost-full,"Coq development of almost-full relations, including the Ramsey Theorem, useful for proving termination.","Dimitrios Vytiniotis, Thierry Coquand, David Wahlstedt",05D10,False
coq-amm11262,http://www.cs.ru.nl/~milad/AMM11262,"Formalisation of Tonny Hurkens' proof of the problem 11262 of The American Mathematical Monthly 113(10), Dec. 2006 (see the README files)","Milad Niqui (Coq files), Tonny Hurkens (paper proof)",00A08,True
