package,msc,module,url,description,authors,verified
HOL/HOL,03B16,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL/index.html,,,True
HOL/HOL-Algebra,13-xx,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Algebra/index.html,,,True
HOL/HOL-Analysis,26-xx,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Analysis/index.html,,,True
HOL/HOL-Analysis-ex,26-xx,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Analysis-ex/index.html,,,True
HOL/HOL-Auth,94A62,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Auth/index.html,,,True
HOL/HOL-Bali,68N15,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Bali/index.html,,,True
HOL/HOL-Cardinals,03E55,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Cardinals/index.html,,,True
HOL/HOL-Codegenerator_Test,68N20,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Codegenerator_Test/index.html,,,True
HOL/HOL-Complex_Analysis,30-xx,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Complex_Analysis/index.html,,,True
HOL/HOL-Computational_Algebra,08-08,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Computational_Algebra/index.html,,,True
HOL/HOL-Corec_Examples,03Dxx,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Corec_Examples/index.html,,,True
HOL/HOL-Data_Structures,68Q65,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Data_Structures/index.html,,,True
HOL/HOL-Datatype_Benchmark,68Q65,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Datatype_Benchmark/index.html,,,True
HOL/HOL-Datatype_Examples,68Q65,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Datatype_Examples/index.html,,,True
HOL/HOL-Decision_Procs,13-xx,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Decision_Procs/index.html,,,True
HOL/HOL-Eisbach,68N30,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Eisbach/index.html,,,True
HOL/HOL-Examples,HOL-Util,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Examples/index.html,,,True
HOL/HOL-Hahn_Banach,46-xx,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Hahn_Banach/index.html,,,True
HOL/HOL-Hoare,68Q60,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Hoare/index.html,,,True
HOL/HOL-Hoare_Parallel,68N19,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Hoare_Parallel/index.html,,,True
HOL/HOL-Homology,55-XX,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Homology/index.html,,,True
HOL/HOL-IMP,68N15,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-IMP/index.html,,,True
HOL/HOL-IMPP,68N15,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-IMPP/index.html,,,True
HOL/HOL-IOA,68Q45,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-IOA/index.html,,,True
HOL/HOL-Imperative_HOL,68N15,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Imperative_HOL/index.html,,,True
HOL/HOL-Import,Exclude-Util,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Import/index.html,,,True
HOL/HOL-Induct,03B40,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Induct/index.html,,,True
HOL/HOL-Isar_Examples,NA,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Isar_Examples/index.html,,,True
HOL/HOL-Lattice,06Bxx,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Lattice/index.html,,,True
HOL/HOL-Library,03B16,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Library/index.html,,,True
HOL/HOL-Matrix_LP,90C05,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Matrix_LP/index.html,,,True
HOL/HOL-Metis_Examples,68V15,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Metis_Examples/index.html,,,True
HOL/HOL-MicroJava,68N15,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-MicroJava/index.html,,,True
HOL/HOL-Mirabelle,Exclude-NoDoc,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Mirabelle/index.html,,,True
HOL/HOL-Mirabelle-ex,Exclude-NoDoc,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Mirabelle-ex/index.html,,,True
HOL/HOL-Mutabelle,Exclude-NoDoc,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Mutabelle/index.html,,,True
HOL/HOL-NanoJava,68N15,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-NanoJava/index.html,,,True
HOL/HOL-Nitpick_Examples,68Q60,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Nitpick_Examples/index.html,,,True
HOL/HOL-Nominal,68Q42,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Nominal/index.html,,,True
HOL/HOL-Nominal-Examples,68Q42,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Nominal-Examples/index.html,,,True
