package,authors,description,url,msc,verified
ACCoRD,,Framework for the analysis of air traffic conflict detection and resolution algorithms,https://github.com/nasa/pvslib/blob/master/ACCoRD/README.md,90B20,True
affine_arith,,Formalization of affine arithmetic and strategy for evaluating polynomial functions with variables on interval domains.,https://github.com/nasa/pvslib/blob/master/affine_arith/README.md,65G30,True
algebra,,"Groups, monoids, rings, etc.",https://github.com/nasa/pvslib/blob/master/algebra/README.md,20A05,True
analysis,,"Real analysis, limits, continuity, derivatives, integrals.",https://github.com/nasa/pvslib/blob/master/analysis/README.md,26A24,True
ASP,,Denotational semantics of Answer Set Programming.,https://github.com/nasa/pvslib/blob/master/ASP/README.md,68N17,True
aviation,,Support definitions and properties for aviation-related formalizations.,https://github.com/nasa/pvslib/blob/master/aviation/README.md,90-04,True
Bernstein,,Formalization of multivariate Bernstein polynomials.,https://github.com/nasa/pvslib/blob/master/Bernstein/README.md,41A10,True
CCG,,Formalization of diverse termination criteria.,https://github.com/nasa/pvslib/blob/master/CCG/README.md,68N99,True
complex,,Complex numbers.,https://github.com/nasa/pvslib/blob/master/complex/README.md,Exclude-Util,True
complex_alt,,Alternative formalization of complex numbers.,https://github.com/nasa/pvslib/blob/master/complex_alt/README.md,Exclude-Util,True
complex_integration,,Complex integration.,https://github.com/nasa/pvslib/blob/master/complex_integration/README.md,30E20,True
co_structures,,Sequences of countable length defined as co-algebraic datatypes.,https://github.com/nasa/pvslib/blob/master/co_structures/README.md,68P05,True
digraphs,,"Directed graphs: circuits, maximal subtrees, paths, DAGs.",https://github.com/nasa/pvslib/blob/master/digraphs/README.md,05C20,True
exact_real_arith,,Exact real arithmetic including trig functions.,https://github.com/nasa/pvslib/blob/master/exact_real_arith/README.md,Exclude-Util,True
examples,,Examples of application of the functionality provided by NASALib.,https://github.com/nasa/pvslib/blob/master/examples/README.md,Exclude-Doc,True
extended_nnreal,,Extended non-negative reals.,https://github.com/nasa/pvslib/blob/master/extended_nnreal/README.md,,False
fast_approx,,Approximations of standard numerical functions.,https://github.com/nasa/pvslib/blob/master/fast_approx/README.md,65D15,True
fault_tolerance,,Fault tolerance protocols.,https://github.com/nasa/pvslib/blob/master/fault_tolerance/README.md,68M15,True
float,,Floating point numbers and arithmetic.,https://github.com/nasa/pvslib/blob/master/float/README.md,68P05,True
graphs,,Graph theory.,https://github.com/nasa/pvslib/blob/master/graphs/README.md,05C99,True
groups,,Group theory.,https://github.com/nasa/pvslib/blob/master/groups/README.md,20A05,True
interval_arith,,Interval arithmetic and numerical approximations. Includes automated strategies numerical for computing numerical approximations and interval for checking satisfiability and validity of simply quantified real-valued formulas. This development includes a formalization of Allen interval temporal logic.,https://github.com/nasa/pvslib/blob/master/interval_arith/README.md,65G30,True
ints,,"Integer division, gcd, mod, prime factorization, min, max.",https://github.com/nasa/pvslib/blob/master/ints/README.md,11A05,True
lebesgue,,Lebesgue integral with connection to Riemann Integral.,https://github.com/nasa/pvslib/blob/master/lebesgue/README.md,26A42,True
linear_algebra,,Linear algebra.,https://github.com/nasa/pvslib/blob/master/linear_algebra/README.md,15A99,True
lnexp,,"Logarithm, exponential and hyperbolic functions. & Foundational definitions of logarithm, exponential and hyperbolic functions.",https://github.com/nasa/pvslib/blob/master/lnexp/README.md,Exclude-Util,True
matrices,,Executable specification of MxN matrices. This library includes computation of inverse and basic matrix operations such as addition and multiplication.,https://github.com/nasa/pvslib/blob/master/matrices/README.md,15A09,True
measure_integration,,"Sigma algebras, measures, Fubini-Tonelli Lemmas.",https://github.com/nasa/pvslib/blob/master/measure_integration/README.md,28A05,True
MetiTarski,,"Integration of MetiTarski, an automated theorem prover for real-valued functions.",https://github.com/nasa/pvslib/blob/master/MetiTarski/README.md,Exclude-Util,True
metric_space,,"Domains with a distance metric, continuity and uniform continuity.",https://github.com/nasa/pvslib/blob/master/metric_space/README.md,54E35,True
numbers,,Elementary number theory.,https://github.com/nasa/pvslib/blob/master/numbers/README.md,11A99,True
