Name,System Type,Theorem Prover Category,System Based on,Logic Used,System's Truth Value,Calculus,Set Theoretic Support,Programming Paradigm,System Architecture,Programming Language,User Interface,Platform Support,Scalability,IDE,Library Support,Programmability,Tactic Language Support,Logo,Homepage,Contributors,1stRelease
ACL2,TP,ITP,Syllogism,FOL,Binary,Inductive,No,Func,Modular,ACL2,CLI,Cross,Yes,Yes,Yes,Yes,Yes,ACL2.png,https://www.cs.utexas.edu/users/moore/acl2/,Matt Kaufman,1994
Isabelle,TP,ATP+ITP,Syllogism,HOL,Binary,Ded+Indu,Yes,Func,Modular,ML+Scala,GUI,Cross,Yes,Yes,Yes,Yes,Yes,Isabelle.svg,https://isabelle.in.tum.de/,Makarius Wenzel,1986
Atelier B,TP,ITP,Syllogism,FOL,Binary,Deductive,Yes,Impe,Monolithic,Prolog,GUI,Cross,Yes,Yes,No,No,Yes,Alterier B.png,https://www.atelierb.eu/en/atelier-b-tools/,Thierry Lecomte,1994
Metamath,TP,ITP,Syllogism,FOL+HOL,Binary,Deductive,Yes,Func,Mod+Mono,MM,CLI+GUI,Cross,Yes,Yes,Yes,Yes,Yes,Metamath.png,http://us.metamath.org/,Norman Megill,1993
Twelf,TP,ITP,LF,TT,Intuition,Deductive,Yes,LP,Monolithic,SML,CLI,Cross,Yes,Yes,Yes,Yes,No,Twelf.png,http://twelf.org/wiki/Main_Page,Frank Pfenning,1999
Agda,TP,ITP,FP,HOL,Binary,Inductive,Yes,Func,Modular,Haskell,GUI,Cross,Yes,Yes,Yes,Yes,Yes,Agda.png,https://wiki.portal.chalmers.se/agda/Main/HomePage,Ulf Norell,
Mizar,TP,ITP,Syllogism,FOL,Binary,Deductive,Yes,Decl,Modular,Pascal,CLI,Cross,Yes,Yes,Yes,No,No,Mizar.gif,http://www.mizar.org/,Adam Naumowicz,1973
HOL,TP,ITP,Syllogism,HOL,Binary,Deductive,No,Func,Modular,SML,CLI,Cross,Yes,No,Yes,Yes,Yes,HOL.gif,https://hol-theorem-prover.org/,Michael Norrish,
RedPRL,TP,ITP,Syllogism,TT,Intuition,Deductive,No,Func,Modular,SML,GUI,Cross,No,Yes,Yes,Yes,Yes,RedPRL.png,https://redprl.org/,Jonathan Sterling,
Coq,TP,ITP,DP,HOTT,Binary,Ded+Indu,Yes,Func,Modular,OCaml,CLI+GUI,Cross,Yes,Yes,Yes,No,Yes,Coq.png,https://coq.inria.fr/,Hugo Herbelin,1989
PVS,TP,ITP,Syllogism,HOL,Binary,Deductive,Yes,Func+OO,Modular,C Lisp,GUI,Mac+Linux,Yes,Yes,Yes,Yes,Yes,PVS.gif,http://pvs.csl.sri.com/,M. Saqib Nawaz,
Yarrow,TP,ITP,,Constructive,Binary,Lambda,No,Functional,Modular,Haskell,CLI+GUI,Mac+Linux,Yes,Yes,Yes,,,,http://www.cs.ru.nl/~janz/yarrow/,Jan Zwanenburg,1997
Watson,TP,ITP,,HOL,Binary,Lambda,Yes,Func+Impe,Monolithic,Standard ML,CLI,Linux,Yes,No,No,,,,https://randall-holmes.github.io/Watson/proverpage.html,M. Randall Holmes,2006
JAPE,TP,ITP,,FOL,Binary,Deductive,Yes,OO,Monolithic,Java,GUI,Mac+Linux,Yes,Yes,No,,,japelogo.gif,http://japeforall.org.uk/,Rachard Bornat,1996
LEO-II,TP,ATP+ITP,,HOL,Binary,RUE,No,Func+Impe+OO,Modular,OCaml,CLI,Cross,Yes,Yes,Yes,,,,http://page.mi.fu-berlin.de/cbenzmueller/leo/,"C. Benzmuller, F. Theiss, N. Sultana",2012
Getfol,TP,ITP,,FOL,Binary,Deductive,No,Meta+OO+Func,Modular,Common Lisp,GUI,Mac+Linux,Yes,Yes,Yes,,,,https://github.com/getfol/GETFOL,Fausto Giunchiglia ,1994
Z/EVES,TP,ATP+ITP,,FOL,Binary,ILambda,Yes,Meta+OO+Func,Modular,Common Lisp,CLI+GUI,Cross,Yes,Yes,Yes,,,,http://czt.sourceforge.net/eclipse/zeves/,Mark Saaltinkz,1997
