package,authors,description,url,msc,verified
0,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/0,Exclude-NoDoc,True
1,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/1,Exclude-NoDoc,True
AI,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/AI,68T20,True
Boolify,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/Boolify,Exclude-NoDoc,True
HolQbf,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/HolQbf,03B05,True
HolSat,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/HolSat,68R07,True
HolSmt,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/HolSmt,68R07,True
IndDef,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/IndDef,03D70,True
TeX,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/TeX,Exclude-Util,True
bag,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/bag,Exclude-NoDoc,True
basicProof,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/basicProof,Exclude-NoDoc,True
bool,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/bool,68P05,True
boss,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/boss,Exclude-Util,True
coalgebras,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/coalgebras,Exclude-NoDoc,True
combin,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/combin,Exclude-NoDoc,True
compute,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/compute,03D30,True
coretypes,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/coretypes,68Q65,True
datatype,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/datatype,68Q65,True
emit,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/emit,Exclude-Util,True
experimental-kernel,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/experimental-kernel,Exclude-Util,True
finite_maps,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/finite_maps,Exclude-Util,True
float,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/float,68P05,True
floating,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/floating,68P05,True
hol88,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/hol88,Exclude-Util,True
holyhammer,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/holyhammer,Exclude-Util,True
integer,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/integer,68P05,True
list,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/list,68P05,True
lite,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/lite,Exclude-NoDoc,True
marker,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/marker,Exclude-NoDoc,True
meson,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/meson,68V15,True
metis,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/metis,Exclude-Util,True
monad,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/monad,18C15,True
n-bit,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/n-bit,Exclude-NoDoc,True
new,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/new,Exclude-NoDoc,True
num,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/num,Exclude-NoDoc,True
opentheory,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/opentheory,Exclude-NoDoc,True
parallel_builds,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/parallel_builds,Exclude-Util,True
parse,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/parse,Exclude-Util,True
pattern_matches,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/pattern_matches,68N18,True
pfl,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/pfl,Exclude-NoDoc,True
portableML,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/portableML,Exclude-Util,True
postkernel,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/postkernel,Exclude-Util,True
pred_set,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/pred_set,03Exx,True
prekernel,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/prekernel,Exclude-Util,True
probability,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/probability,60E05,True
proofman,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/proofman,Exclude-NoDoc,True
q,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/q,Exclude-Util,True
quantHeuristics,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/quantHeuristics,Exclude-NoDoc,True
quotient,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/quotient,03E02,True
rational,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/rational,Exclude-NoDoc,True
real,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/real,Exclude-NoDoc,True
refute,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/refute,Exclude-Util,True
relation,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/relation,Exclude-NoDoc,True
res_quan,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/res_quan,03B99,True
ring,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/ring,Exclude-NoDoc,True
search,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/search,Exclude-NoDoc,True
simp,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/simp,Exclude-Util,True
sort,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/sort,Exclude-NoDoc,True
string,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/string,Exclude-NoDoc,True
tactictoe,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/tactictoe,68V15,True
taut,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/taut,Exclude-NoDoc,True
temporal,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/temporal,03B44,True
tfl,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/tfl,Exclude-Util,True
thm,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/thm,Exclude-NoDoc,True
topology,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/topology,54-XX,True
transfer,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/transfer,Exclude-NoDoc,True
unwind,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/unwind,68Q60,True
update,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/update,Exclude-NoDoc,True
