package,description,url,authors,category,msc,verified
AI_Planning_Languages_Semantics,"This is an Isabelle/HOL formalisation of the semantics of the multi-valued planning tasks language that is used by the planning system Fast-Downward, the STRIPS fragment of the Planning Domain Definition Language (PDDL), and the STRIPS soundness meta-theory developed by Vladimir Lifschitz. It also contains formally verified checkers for checking the well-formedness of problems specified in either language as well the correctness of potential solutions. The formalisation in this entry was described in an earlier publication.",https://www.isa-afp.org/entries/AI_Planning_Languages_Semantics.html,Mohammad Abdulaziz and Peter Lammich,Computer science/Artificial intelligence,68T01,True
Verified_SAT_Based_AI_Planning,"We present an executable formally verified SAT encoding of classical AI planning that is based on the encodings by Kautz and Selman and the one by Rintanen et al. The encoding was experimentally tested and shown to be usable for reasonably sized standard AI planning benchmarks. We also use it as a reference to test a state-of-the-art SAT-based planner, showing that it sometimes falsely claims that problems have no solutions of certain lengths. The formalisation in this submission was described in an independent publication.",https://www.isa-afp.org/entries/Verified_SAT_Based_AI_Planning.html,Mohammad Abdulaziz and Friedrich Kurz,Computer science/Artificial intelligence,68T01,True
Partial_Order_Reduction,"This entry provides a formalization of the abstract theory of ample set partial order reduction. The formalization includes transition systems with actions, trace theory, as well as basics on finite, infinite, and lazy sequences. We also provide a basic framework for static analysis on concurrent systems with respect to the ample set condition.",https://www.isa-afp.org/entries/Partial_Order_Reduction.html,Julian Brunner,Computer science/Automata and formal languages,68Q45,True
C2KA_DistributedSystems,"Communicating Concurrent Kleene Algebra (CÂ²KA) is a mathematical framework for capturing the communicating and concurrent behaviour of agents in distributed systems. It extends Hoare et al.'s Concurrent Kleene Algebra (CKA) with communication actions through the notions of stimuli and shared environments. CÂ²KA has applications in studying system-level properties of distributed systems such as safety, security, and reliability. In this work, we formalize results about CÂ²KA and its application for distributed systems specification. We first formalize the stimulus structure and behaviour structure (CKA). Next, we combine them to formalize CÂ²KA and its properties. Then, we formalize notions and properties related to the topology of distributed systems and the potential for communication via stimuli and via shared environments of agents, all within the algebraic setting of CÂ²KA.",https://www.isa-afp.org/entries/C2KA_DistributedSystems.html,Maxime Buyse (maxime /dot/ buyse /at/ polytechnique /dot/ edu) and Jason Jaskolka,Mathematics/Algebra,68M14,True
Posix-Lexing,"Brzozowski introduced the notion of derivatives for regular expressions. They can be used for a very simple regular expression matching algorithm. Sulzmann and Lu cleverly extended this algorithm in order to deal with POSIX matching, which is the underlying disambiguation strategy for regular expressions needed in lexers. In this entry we give our inductive definition of what a POSIX value is and show (i) that such a value is unique (for given regular expression and string being matched) and (ii) that Sulzmann and Lu's algorithm always generates such a value (provided that the regular expression matches the string). We also prove the correctness of an optimised version of the POSIX matching algorithm.",https://www.isa-afp.org/entries/Posix-Lexing.html,"Fahad Ausaf, Roy Dyckhoff and Christian Urban",Computer science/Automata and formal languages,68Q45,True
LocalLexing,"This formalisation accompanies the paper Local Lexing which introduces a novel parsing concept of the same name. The paper also gives a high-level algorithm for local lexing as an extension of Earley's algorithm. This formalisation proves the algorithm to be correct with respect to its local lexing semantics. As a special case, this formalisation thus also contains a proof of the correctness of Earley's algorithm. The paper contains a short outline of how this formalisation is organised.",https://www.isa-afp.org/entries/LocalLexing.html,Steven Obua (steven /at/ recursivemind /dot/ com),Computer science/Automata and formal languages,68Q45,True
KBPs,"Knowledge-based programs (KBPs) are a formalism for directly relating agents' knowledge and behaviour. Here we present a general scheme for compiling KBPs to executable automata with a proof of correctness in Isabelle/HOL. We develop the algorithm top-down, using Isabelle's locale mechanism to structure these proofs, and show that two classic examples can be synthesised using Isabelle's code generator.",https://www.isa-afp.org/entries/KBPs.html,Peter Gammie,Computer science/Automata and formal languages,68Q45,True
Regular-Sets,"This is a library of constructions on regular expressions and languages. It provides the operations of concatenation, Kleene star and derivative on languages. Regular expressions and their meaning are defined. An executable equivalence checker for regular expressions is verified; it does not need automata but works directly on regular expressions. By mapping regular expressions to binary relations, an automatic and complete proof method for (in)equalities of binary relations over union, concatenation and (reflexive) transitive closure is obtained. Extended regular expressions with complement and intersection are also defined and an equivalence checker is provided.",https://www.isa-afp.org/entries/Regular-Sets.html,Alexander Krauss and Tobias Nipkow,Computer science/Automata and formal languages,68Q45,True
Regex_Equivalence,"We formalize a unified framework for verified decision procedures for regular expression equivalence. Five recently published formalizations of such decision procedures (three based on derivatives, two on marked regular expressions) can be obtained as instances of the framework. We discover that the two approaches based on marked regular expressions, which were previously thought to be the same, are different, and one seems to produce uniformly smaller automata. The common framework makes it possible to compare the performance of the different decision procedures in a meaningful way. The formalization is described in a paper of the same name presented at Interactive Theorem Proving 2014.",https://www.isa-afp.org/entries/Regex_Equivalence.html,Tobias Nipkow and Dmitriy Traytel,Computer science/Automata and formal languages,68Q45,True
MSO_Regex_Equivalence,"Monadic second-order logic on finite words (MSO) is a decidable yet expressive logic into which many decision problems can be encoded. Since MSO formulas correspond to regular languages, equivalence of MSO formulas can be reduced to the equivalence of some regular structures (e.g. automata). We verify an executable decision procedure for MSO formulas that is not based on automata but on regular expressions. Decision procedures for regular expression equivalence have been formalized before, usually based on Brzozowski derivatives. Yet, for a straightforward embedding of MSO formulas into regular expressions an extension of regular expressions with a projection operation is required. We prove total correctness and completeness of an equivalence checker for regular expressions extended in that way. We also define a language-preserving translation of formulas into regular expressions with respect to two different semantics of MSO. The formalization is described in this ICFP 2013 functional pearl.",https://www.isa-afp.org/entries/MSO_Regex_Equivalence.html,Dmitriy Traytel and Tobias Nipkow,Logic/General logic/Decidability of theories,03B25,True
