package,authors,description,url,msc,verified
CLASSICAL FIRST-ORDER LOGIC WITH  EQUALITY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:1,03B10,True
ZF (ZERMELO-FRAENKEL) SET  THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:2,03E30,True
ZFC (ZERMELO-FRAENKEL WITH CHOICE) SET  THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:3,03E25,True
TG (TARSKI-GROTHENDIECK) SET  THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:4,03E65,True
REAL AND COMPLEX NUMBERS,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:5,,False
ELEMENTARY NUMBER THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:6,,False
BASIC STRUCTURES,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:7,,False
BASIC CATEGORY THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:8,,False
BASIC ORDER THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:9,,False
BASIC ALGEBRAIC STRUCTURES,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:10,,False
BASIC LINEAR ALGEBRA,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:11,,False
BASIC TOPOLOGY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:12,,False
BASIC REAL AND COMPLEX  ANALYSIS,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:13,,False
BASIC REAL AND COMPLEX  FUNCTIONS,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:14,,False
ELEMENTARY GEOMETRY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:15,,False
GRAPH THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:16,,False
GUIDES AND MISCELLANEA,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:17,Exclude-Mix,True
COMPLEX TOPOLOGICAL VECTOR SPACES  (DEPRECATED),,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:18,Exclude-Depr,True
COMPLEX HILBERT SPACE EXPLORER  (DEPRECATED),,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:19,Exclude-Depr,True
SUPPLEMENTARY MATERIAL (USER'S  MATHBOXES),,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:20,Exclude-Mix,True
