name,latest_release_date,latest_release_name,url,release_url
Mizar,2019-06-03 00:00:00,8.1.09,http://mizar.uwb.edu.pl/~softadm/current/,
ACL2,2021-08-08 15:46:37,8.4,https://github.com/acl2/acl2/,https://api.github.com/repos/acl2/acl2/commits/a8441ff25cdff8e8c56454b18a4eb4b6b7c19f00
Isabelle,2021-02-20 12:42:37,Isabelle2021,https://github.com/seL4/isabelle/,https://api.github.com/repos/seL4/isabelle/commits/719a3df4f783f78828c0c18f971642d24d54f501
Metamath,2021-08-07 22:34:01,v0.198,https://github.com/metamath/metamath-exe/,https://api.github.com/repos/metamath/metamath-exe/commits/0e6fb2ebf0865fb90354839b2e586490b210d017
Twelf,2011-10-31 19:19:55,v1.7.1,https://github.com/standardml/twelf/,https://api.github.com/repos/standardml/twelf/commits/1f91c1d0c9aab71fa395ed2fe46187a6a405f49d
Agda,2021-06-19 05:25:56,v2.6.2,https://github.com/agda/agda/,https://api.github.com/repos/agda/agda/commits/246a229faea2ef2fa53caf491ff8a2d72dd7510c
HOL4,2021-02-02 23:28:16,kananaskis-14,https://github.com/HOL-Theorem-Prover/HOL/,https://api.github.com/repos/HOL-Theorem-Prover/HOL/commits/49170e06215546958cad866ff456bd8422390ba5
HOL Light,2021-10-07 03:05:19,"Unversioned, last commit 1148eeb",https://github.com/jrh13/hol-light/,https://api.github.com/repos/jrh13/hol-light/commits/1148eeb97c8bb8b079fe853b00cfdc75e6cc467a
RedPRL,2017-01-04 20:31:24,v0.1.0,https://github.com/redprl/sml-redprl/,https://api.github.com/repos/RedPRL/sml-redprl/commits/d06d39486348a74981b2c4c4c2ed3af95b01d5ca
Coq,2021-06-07 09:02:06,V8.15+alpha,https://github.com/coq/coq/,https://api.github.com/repos/coq/coq/commits/cdef6de0ad91e42e43412016a0b881e0b947db91
PVS,2020-11-13 15:18:28,pvs7.1,https://github.com/SRI-CSL/PVS/,https://api.github.com/repos/SRI-CSL/PVS/commits/286c04381a2368be4046c6057a6ad08575feb77b
Lean,2021-03-02 17:37:05,v4.0.0-m2,https://github.com/leanprover/lean4/,https://api.github.com/repos/leanprover/lean4/commits/26dda3f63d885e8c22888926bdea0d99f58bf444
F*,2021-10-16 06:27:00,v2021.10.16,https://github.com/FStarLang/FStar/,https://api.github.com/repos/FStarLang/FStar/commits/6a6a43d623d9ec13984f2d8dc2fe1b117a6fffa5
Idris,2021-09-20 06:51:33,v0.5.1,https://github.com/idris-lang/Idris2/,https://api.github.com/repos/idris-lang/Idris2/commits/bf0a157253611d9a18e3abfa800f0803241b6cbf
JAPE,2016-02-03 13:57:26,v8.0,https://github.com/RBornat/jape/,https://api.github.com/repos/RBornat/jape/commits/121be995c214602d7c6d7a52884614d430fd09ee
LEO-II,2017-07-10 18:59:36,v1.7.0,https://github.com/leoprover/LEO-II/,https://api.github.com/repos/leoprover/LEO-II/commits/7aa1a36be2d63d963bec48a266a39db0c2f8145e
GETFOL,2015-12-04 16:35:44,GETFOL-2.001,https://github.com/getfol/GETFOL/,https://api.github.com/repos/getfol/GETFOL/commits/b861b00f2301b826f058010b42555789e2a9401d
Atelier B,2021-03-01 00:00:00,4.5.1,https://www.atelierb.eu/en/atelier-b-support-maintenance/download-atelier-b/,
Z/EVES,2016-04-09 00:00:00,201604090056,https://sourceforge.net/projects/czt/files/czt-ide/nightly/,https://sourceforge.net/projects/czt/files/czt-ide/nightly/201604090056/
