package,authors,description,url,msc,verified
data.buffer,,,https://leanprover-community.github.io/mathlib_docs/data/buffer/parser.html,68P05,True
data.buffer,,,https://leanprover-community.github.io/mathlib_docs/data/buffer.html,68P05,True
data.dlist,,,https://leanprover-community.github.io/mathlib_docs/data/dlist.html,68P05,True
data.stream,,,https://leanprover-community.github.io/mathlib_docs/data/stream.html,68P05,True
data.vector,,,https://leanprover-community.github.io/mathlib_docs/data/vector.html,68P05,True
init.algebra,,,https://leanprover-community.github.io/mathlib_docs/init/algebra/classes.html,Exclude-Util,True
init.control,,,https://leanprover-community.github.io/mathlib_docs/init/control/alternative.html,Exclude-Util,True
init.data,,,https://leanprover-community.github.io/mathlib_docs/init/data/array/basic.html,Exclude-Util,True
init.meta,,,https://leanprover-community.github.io/mathlib_docs/init/meta/converter/conv.html,Exclude-Util,True
init.cc_lemmas,,,https://leanprover-community.github.io/mathlib_docs/init/cc_lemmas.html,Exclude-Util,True
init.classical,,,https://leanprover-community.github.io/mathlib_docs/init/classical.html,Exclude-Util,True
init.coe,,,https://leanprover-community.github.io/mathlib_docs/init/coe.html,Exclude-Util,True
init.core,,,https://leanprover-community.github.io/mathlib_docs/init/core.html,Exclude-Util,True
init.default,,,https://leanprover-community.github.io/mathlib_docs/init/default.html,Exclude-Util,True
init.function,,,https://leanprover-community.github.io/mathlib_docs/init/function.html,Exclude-Util,True
init.funext,,,https://leanprover-community.github.io/mathlib_docs/init/funext.html,Exclude-Util,True
init.ite_simp,,,https://leanprover-community.github.io/mathlib_docs/init/ite_simp.html,Exclude-Util,True
init.logic,,,https://leanprover-community.github.io/mathlib_docs/init/logic.html,Exclude-Util,True
init.propext,,,https://leanprover-community.github.io/mathlib_docs/init/propext.html,Exclude-Util,True
init.util,,,https://leanprover-community.github.io/mathlib_docs/init/util.html,Exclude-Util,True
init.version,,,https://leanprover-community.github.io/mathlib_docs/init/version.html,Exclude-Util,True
init.wf,,,https://leanprover-community.github.io/mathlib_docs/init/wf.html,Exclude-Util,True
system.io,,,https://leanprover-community.github.io/mathlib_docs/system/io.html,Exclude-Util,True
system.io_interface,,,https://leanprover-community.github.io/mathlib_docs/system/io_interface.html,Exclude-Util,True
system.random,,,https://leanprover-community.github.io/mathlib_docs/system/random.html,Exclude-Util,True
algebra.algebra,,,https://leanprover-community.github.io/mathlib_docs/algebra/algebra/basic.html,13Axx,True
algebra.big_operators,,,https://leanprover-community.github.io/mathlib_docs/algebra/big_operators/basic.html,08A40,True
algebra.category,,,https://leanprover-community.github.io/mathlib_docs/algebra/category/Algebra/basic.html,16B50,True
algebra.char_p,,,https://leanprover-community.github.io/mathlib_docs/algebra/char_p/algebra.html,13A35,True
algebra.continued_fractions,,,https://leanprover-community.github.io/mathlib_docs/algebra/continued_fractions/computation/approximation_corollaries.html,11A55,True
algebra.direct_sum,,,https://leanprover-community.github.io/mathlib_docs/algebra/direct_sum/algebra.html,20K25,True
algebra.gcd_monoid,,,https://leanprover-community.github.io/mathlib_docs/algebra/gcd_monoid/basic.html,11A05,True
algebra.group,,,https://leanprover-community.github.io/mathlib_docs/algebra/group/basic.html,20M32,True
algebra.group_power,,,https://leanprover-community.github.io/mathlib_docs/algebra/group_power/basic.html,20M32,True
algebra.group_with_zero,,,https://leanprover-community.github.io/mathlib_docs/algebra/group_with_zero/basic.html,20M99,True
algebra.homology,,,https://leanprover-community.github.io/mathlib_docs/algebra/homology/additive.html,13Dxx,True
algebra.lie,,,https://leanprover-community.github.io/mathlib_docs/algebra/lie/abelian.html,17B45,True
algebra.module,,,https://leanprover-community.github.io/mathlib_docs/algebra/module/basic.html,13C05,True
algebra.monoid_algebra,,,https://leanprover-community.github.io/mathlib_docs/algebra/monoid_algebra/basic.html,20M32,True
algebra.order,,,https://leanprover-community.github.io/mathlib_docs/algebra/order/absolute_value.html,06F15,True
algebra.polynomial,,,https://leanprover-community.github.io/mathlib_docs/algebra/polynomial/big_operators.html,13B25,False
algebra.regular,,,https://leanprover-community.github.io/mathlib_docs/algebra/regular/basic.html,13H05,True
algebra.ring,,,https://leanprover-community.github.io/mathlib_docs/algebra/ring/basic.html,13Axx,True
