name,author,start_date,end_date,description,website,category
Operational Semantics of a Functional Programming Language,"Simon Ambler, Roy Crole",,,"Simon Ambler and Roy Crole have used a deep encoding of syntax based on de Bruijn indices to formalize the operational semantics of a small functional programming language. This has enabled standard concepts of program equivalence to be presented uniformly through inductive and coinductive definitions. It is proved formally that applicative bisimulation is a congruence, and that it coincides with Morris-style contextual equivalence. A preliminary report is available as compressed postscript.","http://www.mcs.le.ac.uk/~sambler, http://www.mcs.le.ac.uk/~rcrole/, http://www.mcs.le.ac.uk/~rcrole/papers/mosci98.ps.gz",Formalized Mathematics
Textbook,Tobias Nipkow,,,"Tobias Nipkow has mechanized the first 100 pages of Winskel's The Formal Semantics of Programming Languages, in HOL. This project extends the work of Lötzbeyer and Sandner. [Isabelle]","http://www.in.tum.de/~nipkow/, http://www.in.tum.de/~nipkow/pubs/fac98.html, /community/File:Isabelle_mini.gif",Formalized Mathematics
Algebraic Topology,"Jesús Aransay, Clemens Ballarin, Julio Rubio",,,"Jesús Aransay, Clemens Ballarin, and Julio Rubio work on formalisations in the domain of Algebraic Topology. The computer algebra systems EAT and Kenzo have been used to compute algebraic objects whose correctness hat not been, up to date (2003), confirmed or refuted by other theoretical or mechanical methods. The goal currently pursued is to obtain a mechanical proof of the Basic Perturbation Lemma, which is the theoretical basis for EAT and Kenzo, in Isabelle. An ulterior goal is the validation of algorithms implementing the Basic Perturbation Lemma. See Aransay's PhD thesis ""Mechanized Reasoning in Homological Algebra"", Universidad de La Rioja, 2006.","http://www4.in.tum.de/~ballarin/, http://www-fourier.ujf-grenoble.fr/~sergerar/Kenzo/, http://www.unirioja.es/servicios/sp/tesis/pdfs/tesis34.pdf",Formalized Mathematics
Number Theory,"Jeremy Avigad, David Gray",,,"Jeremy Avigad, David Gray, and Adam Kramer are working to develop number theory in Isabelle. They have formalized Gauss' law of quadratic reciprocity and the prime number theorem. The latter development includes many useful contributions, such as a formalization of O-notation.","http://www.andrew.cmu.edu/~avigad/, http://www.andrew.cmu.edu/~avigad/isabelle/",Formalized Mathematics
HOL proof plans,Louise Dennis,,,"Louise Dennis is using Isabelle/HOL to prove theorems involving coinduction, guiding the proof with proof plans generated by CLaM rather than user interaction. Her method finds bisimulations automatically.","http://www.cs.nott.ac.uk/~lad/, http://dream.dai.ed.ac.uk/, http://dream.dai.ed.ac.uk/projects/proof-plans-faq.html",Formalized Mathematics
Nonstandard Analysis,Jacques Fleuriot,,,Jacques Fleuriot has mechanized the ultrapower construction of the hyperreals from Nonstandard Analysis (NSA) in Isabelle. Concepts from NSA and geometry theorem proving have been combined and applied to the mechanization of Propositions from Newton's Principia for his PhD thesis. This includes the famous Proposition Kepleriana. The framework has also been used to mechanize real analysis using nonstandard techniques.,"http://www.dai.ed.ac.uk/daidb/people/staff/Jacques_Fleuriot.html, http://www.dai.ed.ac.uk/daidb/people/homes/jdf/princip.ps.gz, http://www.springeronline.com/sgw/cda/frontpage/0,10735,3-40109-22-2178552-0,00.html, http://www.dai.ed.ac.uk/daidb/people/homes/jdf/kep.ps.gz",Formalized Mathematics
Axiom of Choice,Krzysztof Grabczewski,,,"Krzysztof Grabczewski has mechanized the first two chapters of Equivalents of the Axiom of Choice by Rubin and Rubin, in ZF. [Isabelle]","http://www.phys.uni.torun.pl/~kgrabcze/, http://www.cl.cam.ac.uk/techreports/UCAM-CL-TR-377.html, /community/File:Isabelle_mini.gif",Formalized Mathematics
ZF,Slawomir Kolodynski,,,"Slawomir Kolodynski is building a library of formalized mathematics within ZF. It has theorems about group theory, rings, general topology and a construction of real numbers as classes of integer almost homomorphisms.",http://savannah.nongnu.org/projects/isarmathlib,Formalized Mathematics
Church,Tobias Nipkow,,,"Tobias Nipkow has proved the Church-Rosser Theorem for the lambda-calculus using a novel formalization, covering both the beta and the eta rules. [Isabelle]","http://www.in.tum.de/~nipkow/, http://isabelle.in.tum.de/library/HOL/Lambda/, /community/File:Isabelle_mini.gif",Formalized Mathematics
Mutilated Chess Board,Larry Paulson,,,"Larry Paulson has found a concise formalization and proof of the Mutilated Chess Board problem, using an inductive definition. [Isabelle]","http://www.cl.cam.ac.uk/users/lcp/, http://www.cl.cam.ac.uk/~lp15/papers/Reports/mutil.pdf, /community/File:Isabelle_mini.gif",Formalized Mathematics
Formal Concept Analysis,Baris Sertkaya,,,Baris Sertkaya has proved some fundamental results and the Basic Theorem of Formal Concept Analysis in Isabelle/HOL following the book Formal Concept Analysis by Ganter and Wille. His master's thesis gives documentation and the source code of the formalization.,"http://wwwtcs.inf.tu-dresden.de/~sertkaya/, http://wwwtcs.inf.tu-dresden.de/~sertkaya/ms_thesis",Formalized Mathematics
