package,authors,description,url,msc,verified
ACCoRD,,Framework for the analysis of air traffic conflict detection and resolution algorithms,https://github.com/nasa/pvslib/blob/master/ACCoRD/README.md,,False
affine_arith,,Formalization of affine arithmetic and strategy for evaluating polynomial functions with variables on interval domains.,https://github.com/nasa/pvslib/blob/master/affine_arith/README.md,,False
algebra,,"Groups, monoids, rings, etc.",https://github.com/nasa/pvslib/blob/master/algebra/README.md,,False
analysis,,"Real analysis, limits, continuity, derivatives, integrals.",https://github.com/nasa/pvslib/blob/master/analysis/README.md,,False
ASP,,Denotational semantics of Answer Set Programming.,https://github.com/nasa/pvslib/blob/master/ASP/README.md,,False
aviation,,Support definitions and properties for aviation-related formalizations.,https://github.com/nasa/pvslib/blob/master/aviation/README.md,,False
Bernstein,,Formalization of multivariate Bernstein polynomials.,https://github.com/nasa/pvslib/blob/master/Bernstein/README.md,,False
CCG,,Formalization of diverse termination criteria.,https://github.com/nasa/pvslib/blob/master/CCG/README.md,,False
complex,,Complex numbers.,https://github.com/nasa/pvslib/blob/master/complex/README.md,,False
complex_alt,,Alternative formalization of complex numbers.,https://github.com/nasa/pvslib/blob/master/complex_alt/README.md,,False
complex_integration,,Complex integration.,https://github.com/nasa/pvslib/blob/master/complex_integration/README.md,,False
co_structures,,Sequences of countable length defined as co-algebraic datatypes.,https://github.com/nasa/pvslib/blob/master/co_structures/README.md,,False
digraphs,,"Directed graphs: circuits, maximal subtrees, paths, DAGs.",https://github.com/nasa/pvslib/blob/master/digraphs/README.md,,False
exact_real_arith,,Exact real arithmetic including trig functions.,https://github.com/nasa/pvslib/blob/master/exact_real_arith/README.md,,False
examples,,Examples of application of the functionality provided by NASALib.,https://github.com/nasa/pvslib/blob/master/examples/README.md,,False
extended_nnreal,,Extended non-negative reals.,https://github.com/nasa/pvslib/blob/master/extended_nnreal/README.md,,False
fast_approx,,Approximations of standard numerical functions.,https://github.com/nasa/pvslib/blob/master/fast_approx/README.md,,False
fault_tolerance,,Fault tolerance protocols.,https://github.com/nasa/pvslib/blob/master/fault_tolerance/README.md,,False
float,,Floating point numbers and arithmetic.,https://github.com/nasa/pvslib/blob/master/float/README.md,,False
graphs,,Graph theory.,https://github.com/nasa/pvslib/blob/master/graphs/README.md,,False
groups,,Group theory.,https://github.com/nasa/pvslib/blob/master/groups/README.md,,False
interval_arith,,Interval arithmetic and numerical approximations. Includes automated strategies numerical for computing numerical approximations and interval for checking satisfiability and validity of simply quantified real-valued formulas. This development includes a formalization of Allen interval temporal logic.,https://github.com/nasa/pvslib/blob/master/interval_arith/README.md,,False
ints,,"Integer division, gcd, mod, prime factorization, min, max.",https://github.com/nasa/pvslib/blob/master/ints/README.md,,False
lebesgue,,Lebesgue integral with connection to Riemann Integral.,https://github.com/nasa/pvslib/blob/master/lebesgue/README.md,,False
linear_algebra,,Linear algebra.,https://github.com/nasa/pvslib/blob/master/linear_algebra/README.md,,False
lnexp,,"Logarithm, exponential and hyperbolic functions. & Foundational definitions of logarithm, exponential and hyperbolic functions.",https://github.com/nasa/pvslib/blob/master/lnexp/README.md,,False
matrices,,Executable specification of MxN matrices. This library includes computation of inverse and basic matrix operations such as addition and multiplication.,https://github.com/nasa/pvslib/blob/master/matrices/README.md,,False
measure_integration,,"Sigma algebras, measures, Fubini-Tonelli Lemmas.",https://github.com/nasa/pvslib/blob/master/measure_integration/README.md,,False
MetiTarski,,"Integration of MetiTarski, an automated theorem prover for real-valued functions.",https://github.com/nasa/pvslib/blob/master/MetiTarski/README.md,,False
metric_space,,"Domains with a distance metric, continuity and uniform continuity.",https://github.com/nasa/pvslib/blob/master/metric_space/README.md,,False
numbers,,Elementary number theory.,https://github.com/nasa/pvslib/blob/master/numbers/README.md,,False
orders,,"Abstract orders, lattices, fix points.",https://github.com/nasa/pvslib/blob/master/orders/README.md,,False
power,,Generalized Power function (without ln/exp).,https://github.com/nasa/pvslib/blob/master/power/README.md,,False
probability,,Probability theory.,https://github.com/nasa/pvslib/blob/master/probability/README.md,,False
PVS0,,Formalization of fundamental computability concepts.,https://github.com/nasa/pvslib/blob/master/PVS0/README.md,,False
