package,authors,description,url,msc,verified
acl2s,,,https://github.com/acl2/acl2/tree/master/books/acl2s,Exclude-Util,True
add-ons,,,https://github.com/acl2/acl2/tree/master/books/add-ons,Exclude-Util,True
arithmetic-2,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-2,Exclude-Depr,True
arithmetic-3,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-3,Exclude-Depr,True
arithmetic-5,,,https://github.com/acl2/acl2/tree/master/books/arithmetic-5,Exclude-Copy,True
arithmetic,,,https://github.com/acl2/acl2/tree/master/books/arithmetic,16S15,True
bdd,,,https://github.com/acl2/acl2/tree/master/books/bdd,94C11,True
build,,,https://github.com/acl2/acl2/tree/master/books/build,Exclude-NoDoc,True
centaur,,,https://github.com/acl2/acl2/tree/master/books/centaur,94C99,True
clause-processors,,,https://github.com/acl2/acl2/tree/master/books/clause-processors,Exclude-Util,True
coi,,,https://github.com/acl2/acl2/tree/master/books/coi,94C99,True
cowles,,,https://github.com/acl2/acl2/tree/master/books/cowles,13A99,True
data-structures,,,https://github.com/acl2/acl2/tree/master/books/data-structures,68P05,True
defexec,,,https://github.com/acl2/acl2/tree/master/books/defexec,68M20,True
defsort,,,https://github.com/acl2/acl2/tree/master/books/defsort,68P10,True
demos,,,https://github.com/acl2/acl2/tree/master/books/demos,Exclude-Util,True
doc,,,https://github.com/acl2/acl2/tree/master/books/doc,Exclude-NoDoc,True
emacs,,,https://github.com/acl2/acl2/tree/master/books/emacs,Exclude-Util,True
finite-set-theory,,,https://github.com/acl2/acl2/tree/master/books/finite-set-theory,03E99,True
hacking,,,https://github.com/acl2/acl2/tree/master/books/hacking,Exclude-Util,True
hints,,,https://github.com/acl2/acl2/tree/master/books/hints,Exclude-Util,True
ihs,,,https://github.com/acl2/acl2/tree/master/books/ihs,94C99,True
interface,,,https://github.com/acl2/acl2/tree/master/books/interface,Exclude-Util,True
kestrel,,,https://github.com/acl2/acl2/tree/master/books/kestrel,94A60,True
make-event,,,https://github.com/acl2/acl2/tree/master/books/make-event,Exclude-Util,True
meta,,,https://github.com/acl2/acl2/tree/master/books/meta,Exclude-Doc,True
misc,,,https://github.com/acl2/acl2/tree/master/books/misc,Exclude-Util,True
models,,,https://github.com/acl2/acl2/tree/master/books/models,68M07,True
nonstd,,,https://github.com/acl2/acl2/tree/master/books/nonstd,Exclude-NoDoc,True
ordinals,,,https://github.com/acl2/acl2/tree/master/books/ordinals,Exclude-NoDoc,True
oslib,,,https://github.com/acl2/acl2/tree/master/books/oslib,Exclude-NoDoc,True
parsers,,,https://github.com/acl2/acl2/tree/master/books/parsers,Exclude-NoDoc,True
powerlists,,,https://github.com/acl2/acl2/tree/master/books/powerlists,68W10,True
projects,,,https://github.com/acl2/acl2/tree/master/books/projects,Exclude-Util,True
proof-builder,,,https://github.com/acl2/acl2/tree/master/books/proof-builder,Exclude-NoDoc,True
proofstyles,,,https://github.com/acl2/acl2/tree/master/books/proofstyles,68V05,True
quicklisp,,,https://github.com/acl2/acl2/tree/master/books/quicklisp,Exclude-NoDoc,True
rtl,,,https://github.com/acl2/acl2/tree/master/books/rtl,68M07,True
sorting,,,https://github.com/acl2/acl2/tree/master/books/sorting,68P10,True
std,,,https://github.com/acl2/acl2/tree/master/books/std,Exclude-NoDoc,True
system,,,https://github.com/acl2/acl2/tree/master/books/system,Exclude-Util,True
tau,,,https://github.com/acl2/acl2/tree/master/books/tau,Exclude-NoDoc,True
textbook,,,https://github.com/acl2/acl2/tree/master/books/textbook,68-01,True
tools,,,https://github.com/acl2/acl2/tree/master/books/tools,Exclude-Util,True
unicode,,,https://github.com/acl2/acl2/tree/master/books/unicode,Exclude-NoDoc,True
workshops,,,https://github.com/acl2/acl2/tree/master/books/workshops,68-06,True
xdoc,,,https://github.com/acl2/acl2/tree/master/books/xdoc,Exclude-NoDoc,True
