package,authors,description,url,msc,verified
CLASSICAL FIRST-ORDER LOGIC WITH  EQUALITY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:1,,False
ZF (ZERMELO-FRAENKEL) SET  THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:2,,False
ZFC (ZERMELO-FRAENKEL WITH CHOICE) SET  THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:3,,False
TG (TARSKI-GROTHENDIECK) SET  THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:4,,False
REAL AND COMPLEX NUMBERS,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:5,,False
ELEMENTARY NUMBER THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:6,,False
BASIC STRUCTURES,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:7,,False
BASIC CATEGORY THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:8,,False
BASIC ORDER THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:9,,False
BASIC ALGEBRAIC STRUCTURES,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:10,,False
BASIC LINEAR ALGEBRA,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:11,,False
BASIC TOPOLOGY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:12,,False
BASIC REAL AND COMPLEX  ANALYSIS,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:13,,False
BASIC REAL AND COMPLEX  FUNCTIONS,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:14,,False
ELEMENTARY GEOMETRY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:15,,False
GRAPH THEORY,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:16,,False
GUIDES AND MISCELLANEA,,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:17,,False
COMPLEX TOPOLOGICAL VECTOR SPACES  (DEPRECATED),,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:18,,False
COMPLEX HILBERT SPACE EXPLORER  (DEPRECATED),,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:19,,False
SUPPLEMENTARY MATERIAL (USER'S  MATHBOXES),,,http://us.metamath.org/mpeuni/mmtheorems.html#dtl:20,,False
