package,authors,description,url,msc,verified
acl2s,,,https://github.com/acl2/acl2/tree/master/books/acl2s,,False
add,,,https://github.com/acl2/acl2/tree/master/books/add,,False
arithmetic,,,https://github.com/acl2/acl2/tree/master/books/arithmetic,,False
arithmetic,,,https://github.com/acl2/acl2/tree/master/books/arithmetic,,False
arithmetic,,,https://github.com/acl2/acl2/tree/master/books/arithmetic,,False
arithmetic,,,https://github.com/acl2/acl2/tree/master/books/arithmetic,,False
bdd,,,https://github.com/acl2/acl2/tree/master/books/bdd,,False
build,,,https://github.com/acl2/acl2/tree/master/books/build,,False
centaur,,,https://github.com/acl2/acl2/tree/master/books/centaur,,False
clause,,,https://github.com/acl2/acl2/tree/master/books/clause,,False
coi,,,https://github.com/acl2/acl2/tree/master/books/coi,,False
cowles,,,https://github.com/acl2/acl2/tree/master/books/cowles,,False
data,,,https://github.com/acl2/acl2/tree/master/books/data,,False
defexec,,,https://github.com/acl2/acl2/tree/master/books/defexec,,False
defsort,,,https://github.com/acl2/acl2/tree/master/books/defsort,,False
demos,,,https://github.com/acl2/acl2/tree/master/books/demos,,False
doc,,,https://github.com/acl2/acl2/tree/master/books/doc,,False
emacs,,,https://github.com/acl2/acl2/tree/master/books/emacs,,False
finite,,,https://github.com/acl2/acl2/tree/master/books/finite,,False
hacking,,,https://github.com/acl2/acl2/tree/master/books/hacking,,False
hints,,,https://github.com/acl2/acl2/tree/master/books/hints,,False
ihs,,,https://github.com/acl2/acl2/tree/master/books/ihs,,False
interface,,,https://github.com/acl2/acl2/tree/master/books/interface,,False
kestrel,,,https://github.com/acl2/acl2/tree/master/books/kestrel,,False
make,,,https://github.com/acl2/acl2/tree/master/books/make,,False
meta,,,https://github.com/acl2/acl2/tree/master/books/meta,,False
misc,,,https://github.com/acl2/acl2/tree/master/books/misc,,False
models,,,https://github.com/acl2/acl2/tree/master/books/models,,False
nonstd,,,https://github.com/acl2/acl2/tree/master/books/nonstd,,False
ordinals,,,https://github.com/acl2/acl2/tree/master/books/ordinals,,False
oslib,,,https://github.com/acl2/acl2/tree/master/books/oslib,,False
parsers,,,https://github.com/acl2/acl2/tree/master/books/parsers,,False
powerlists,,,https://github.com/acl2/acl2/tree/master/books/powerlists,,False
projects,,,https://github.com/acl2/acl2/tree/master/books/projects,,False
proof,,,https://github.com/acl2/acl2/tree/master/books/proof,,False
proofstyles,,,https://github.com/acl2/acl2/tree/master/books/proofstyles,,False
quicklisp,,,https://github.com/acl2/acl2/tree/master/books/quicklisp,,False
rtl,,,https://github.com/acl2/acl2/tree/master/books/rtl,,False
sorting,,,https://github.com/acl2/acl2/tree/master/books/sorting,,False
std,,,https://github.com/acl2/acl2/tree/master/books/std,,False
system,,,https://github.com/acl2/acl2/tree/master/books/system,,False
tau,,,https://github.com/acl2/acl2/tree/master/books/tau,,False
textbook,,,https://github.com/acl2/acl2/tree/master/books/textbook,,False
tools,,,https://github.com/acl2/acl2/tree/master/books/tools,,False
unicode,,,https://github.com/acl2/acl2/tree/master/books/unicode,,False
workshops,,,https://github.com/acl2/acl2/tree/master/books/workshops,,False
xdoc,,,https://github.com/acl2/acl2/tree/master/books/xdoc,,False
