package,authors,description,url,msc,verified
0,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/0,,False
1,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/1,,False
AI,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/AI,,False
Boolify,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/Boolify,,False
HolQbf,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/HolQbf,,False
HolSat,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/HolSat,,False
HolSmt,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/HolSmt,,False
IndDef,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/IndDef,,False
TeX,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/TeX,,False
bag,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/bag,,False
basicProof,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/basicProof,,False
bool,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/bool,,False
boss,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/boss,,False
coalgebras,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/coalgebras,,False
combin,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/combin,,False
compute,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/compute,,False
coretypes,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/coretypes,,False
datatype,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/datatype,,False
emit,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/emit,,False
experimental,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/experimental,,False
finite_maps,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/finite_maps,,False
float,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/float,,False
floating,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/floating,,False
hol88,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/hol88,,False
holyhammer,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/holyhammer,,False
integer,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/integer,,False
list,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/list,,False
lite,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/lite,,False
marker,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/marker,,False
meson,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/meson,,False
metis,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/metis,,False
monad,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/monad,,False
n,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/n,,False
new,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/new,,False
num,,,https://github.com/HOL-Theorem-Prover/HOL/tree/develop/src/num,,False
